# k_planck  arg_alpha  arg_beta  phase_shift  T2
1.00000000e-08 -1.57079661e+00 1.57079650e+00 -3.14159251e+00 5.69560798e+112
1.43844989e-08 -1.57079674e+00 1.57079657e+00 -3.14159245e+00 2.75264758e+112
2.06913808e-08 -1.57079692e+00 1.57079668e+00 -3.14159236e+00 1.33033530e+112
2.97635144e-08 -1.57079718e+00 1.57079684e+00 -3.14159223e+00 6.42941810e+111
4.28133240e-08 -1.57079756e+00 1.57079706e+00 -3.14159204e+00 3.10729292e+111
6.15848211e-08 -1.57079810e+00 1.57079739e+00 -3.14159178e+00 1.50173299e+111
8.85866790e-08 -1.57079888e+00 1.57079785e+00 -3.14159139e+00 7.25777050e+110
1.27427499e-07 -1.57079999e+00 1.57079852e+00 -3.14159084e+00 3.50763003e+110
1.83298071e-07 -1.57080160e+00 1.57079948e+00 -3.14159005e+00 1.69521307e+110
2.63665090e-07 -1.57080391e+00 1.57080086e+00 -3.14158891e+00 8.19284639e+109
3.79269019e-07 -1.57080724e+00 1.57080285e+00 -3.14158726e+00 3.95954563e+109
5.45559478e-07 -1.57081202e+00 1.57080571e+00 -3.14158490e+00 1.91362075e+109
7.84759970e-07 -1.57081890e+00 1.57080982e+00 -3.14158150e+00 9.24839572e+108
1.12883789e-06 -1.57082880e+00 1.57081574e+00 -3.14157660e+00 4.46968515e+108
1.62377674e-06 -1.57084304e+00 1.57082426e+00 -3.14156957e+00 2.16016763e+108
2.33572147e-06 -1.57086352e+00 1.57083650e+00 -3.14155945e+00 1.04399393e+108
3.35981829e-06 -1.57089297e+00 1.57085412e+00 -3.14154489e+00 5.04554987e+107
4.83293024e-06 -1.57093535e+00 1.57087945e+00 -3.14152394e+00 2.43847910e+107
6.95192796e-06 -1.57099630e+00 1.57091590e+00 -3.14149382e+00 1.17849988e+107
1.00000000e-05 -1.57108398e+00 1.57096833e+00 -3.14145048e+00 5.69560794e+106
1.38949549e-05 -1.57119602e+00 1.57103532e+00 -3.14139511e+00 2.95002567e+106
1.93069773e-05 -1.57135170e+00 1.57112841e+00 -3.14131816e+00 1.52795845e+106
2.68269580e-05 -1.57156802e+00 1.57125775e+00 -3.14121125e+00 7.91402192e+105
3.72759372e-05 -1.57186859e+00 1.57143747e+00 -3.14106269e+00 4.09904786e+105
5.17947468e-05 -1.57228624e+00 1.57168720e+00 -3.14085628e+00 2.12309158e+105
7.19685673e-05 -1.57286655e+00 1.57203419e+00 -3.14056946e+00 1.09965010e+105
